timestamp,CPU_use,RAM_filled,Net_bytes_sent,Net_bytes_received,Disk_IO_percentage
11:28:14,5.6,3036426240,885293151,3583552,0.01858217866078194
11:28:15,6.1,3035897856,885293151,3583552,0.01860428958440509
11:28:16,5.4,3035541504,885293151,3583552,0.01862640041988026
11:28:17,5.7,3033894912,885293151,3583552,0.018648511167207987
11:28:18,5.5,3033698304,885293151,3583552,0.018670477097686516
11:28:19,6.2,3033403392,885293151,3583552,0.01869258749761567
11:28:20,6.4,3033657344,885293151,3583552,0.018714697809400327
11:28:21,5.4,3032592384,885293151,3583552,0.018736808033041008
11:28:22,6.5,3032535040,885293151,3583552,0.01875891816853825
11:28:23,6.0,3032637440,885293151,3583552,0.01878102821589257
11:28:24,6.4,3032920064,885293151,3583552,0.01880287165694659
11:28:25,6.7,3038691328,885293151,3583552,0.018823655510716502
11:28:26,12.7,3017539584,885293151,3583552,0.018866900879015998
11:28:27,9.0,3022069760,885293151,3583552,0.018888990752144997
11:28:28,7.9,3023945728,885293151,3583552,0.018911097248878232
11:28:29,8.7,3019051008,885293151,3583552,0.0189328137549217
11:28:30,8.6,3019739136,885293151,3583622,0.018954919620954754
11:28:31,8.2,3020038144,885293151,3583622,0.018977025398877367
11:28:32,8.8,3020550144,885293151,3583622,0.01899913108869007
11:28:33,8.0,3021795328,885293151,3583622,0.01902123669039339
11:28:34,9.3,3026436096,885293151,3583622,0.019043114496947344
11:28:35,8.4,3026366464,885293151,3583622,0.019065219658566494
11:28:36,8.4,3027214336,885293151,3583622,0.019085499050374648
11:28:37,8.7,3051151360,885293151,3583622,0.019128391802598538
11:28:38,5.3,3033833472,885293151,3583622,0.01912205664019496
11:28:39,5.1,3034095616,885293151,3583622,0.019144120743251697
11:28:40,6.0,3034124288,885293151,3583622,0.019166184748757184
11:28:41,5.5,3034112000,885293151,3583622,0.01918824441490555
11:28:42,5.1,3034124288,885293151,3583622,0.019209968492556857
11:28:43,5.3,3033907200,885293151,3583622,0.019231525908844336
11:28:44,5.8,3033305088,885293151,3583622,0.019253584294557292
11:28:45,5.5,3032510464,885293151,3583622,0.019297743401907007
11:28:46,5.8,3029622784,885293151,3583622,0.019319801514460232
11:28:47,6.3,3029753856,885293151,3583622,0.01934185524422905
11:28:48,6.6,3030003712,885293151,3583622,0.019363776166241995
11:28:49,5.6,3029934080,885293151,3583622,0.019385829511244998
11:28:50,6.9,3029995520,885293151,3583622,0.019407882739252442
11:28:51,6.0,3029925888,885293151,3583622,0.019429935850265267
11:28:52,6.4,3030183936,885293151,3583622,0.0194519888442844
11:28:53,5.6,3030237184,885293151,3583622,0.019473968542798963
11:28:54,6.5,3030233088,885293151,3583622,0.019495818677392168
11:28:55,6.7,3030228992,885293151,3583622,0.019517871009197715
11:28:56,6.3,3030220800,885293151,3583622,0.019539366075770302
11:28:57,5.8,3029983232,885293151,3583622,0.019561417546304194
11:28:58,5.6,3029954560,885293151,3583622,0.019583468899859954
11:28:59,4.9,3030183936,885293151,3583622,0.019605520136438508
11:29:00,7.4,3029913600,885293151,3583622,0.019627571256040782
11:29:01,5.1,3030142976,885293151,3583622,0.019649513680062153
11:29:02,4.7,3029999616,885293151,3583622,0.01967156444415563
11:29:03,6.6,3024052224,885293151,3583622,0.019693414862450007
11:29:04,5.1,3024375808,885293151,3583622,0.019715465168939655
11:29:05,6.1,3024371712,885293151,3583622,0.019737515358461348
11:29:06,4.7,3024531456,885293151,3583622,0.019757997679429803
11:29:07,4.5,3024400384,885293151,3583622,0.019780041518196644
11:29:08,4.3,3024396288,885293151,3583622,0.01980190580083128
11:29:09,5.1,3024744448,885293151,3583622,0.01982395356819009
11:29:10,6.2,3024744448,885293151,3583622,0.019846001218606357
11:29:11,5.6,3024740352,885293151,3583622,0.019867192569007
11:29:12,4.8,3024736256,885293151,3583622,0.01991133379196435
11:29:13,5.1,3024736256,885293151,3583622,0.01993281624396353
11:29:14,5.7,3024723968,885293151,3583622,0.019954861793245977
11:29:15,6.2,3024723968,885293151,3583622,0.019976907225607566
11:29:16,6.1,3024719872,885293151,3583622,0.019998939282778374
11:29:17,6.1,3024199680,885293151,3583622,0.020020975618164197
11:29:18,6.0,3024134144,885293151,3583622,0.020042865656892218
11:29:19,6.1,3023577088,885293151,3583622,0.02006491042719034
11:29:20,7.1,3023384576,885293151,3583622,0.02008695508057432
11:29:21,9.2,3023605760,885293151,3583622,0.020108999617045095
11:29:22,10.1,3020767232,885293151,3583622,0.020129438253887234
11:29:23,8.5,3020378112,885293151,3583622,0.020173425169187204
11:29:24,6.5,3016597504,885293151,3583622,0.020195257649727176
11:29:25,9.4,3018174464,885293151,3583622,0.02021729951233222
11:29:26,8.5,3040428032,885293151,3583696,0.02023934125805182
11:29:27,8.1,3031207936,885293151,3583696,0.02026138288688691
11:29:28,7.2,3031810048,885293151,3583696,0.020283240652033272
11:29:29,7.1,3034750976,885293151,3583696,0.020305281847917637
11:29:30,7.7,3028828160,885293151,3583696,0.02032732292692239
11:29:31,7.6,3029204992,885293151,3583696,0.020349363889048462
11:29:32,7.5,3035160576,885293151,3583696,0.020371404734296782
11:29:33,6.4,3034976256,885293151,3583696,0.020393319298841004
11:29:34,8.9,3035521024,885293151,3583696,0.02041535977431748
11:29:35,7.2,3033493504,885293151,3583696,0.020437314338046436
11:29:36,6.0,3032870912,885293151,3583911,0.02045935448748102
11:29:37,22.9,3050213376,885293151,3584126,0.020478349502466683
11:29:38,5.3,3055751168,885293151,3584341,0.02052186053087336
11:29:39,6.6,3067531264,885293151,3584556,0.020543728430465775
11:29:40,10.3,3078279168,885293151,3584556,0.020565341457563606
11:29:41,19.2,3070435328,885293151,3584556,0.020585880339048564
11:29:42,21.8,3096489984,885293151,3584556,0.02060749481112999
11:29:43,24.6,3164807168,885293151,3584771,0.020627249479957005
11:29:44,25.2,3239206912,885293151,3584986,0.02064356706708563
11:29:45,18.0,3284267008,885293151,3585275,0.020665308114003616
11:29:46,25.2,3331522560,885293151,3585490,0.020686705910326553
11:29:47,32.2,3423485952,895695119,3628829,0.020726971484852426
11:29:48,27.3,3443806208,895695119,3628829,0.0207489808166843
11:29:49,18.5,3446878208,906115819,3692556,0.02077025646300411
11:29:50,12.8,3432681472,906115819,3692556,0.020814332621422824
11:29:51,24.9,3443044352,906115819,3692556,0.02083571524110498
11:29:52,25.9,3475234816,906115819,3692556,0.02085627247428885
11:29:53,25.7,3530006528,906115819,3692556,0.020877365779614025
11:29:54,24.2,3548487680,906115819,3692771,0.020898613916534862
11:29:55,13.4,3547496448,906115819,3692986,0.02094267642991144
11:29:56,13.5,3548180480,906115819,3692986,0.020964675184356733
11:29:57,12.6,3543228416,906115819,3693201,0.02098647464741178
11:29:58,10.6,3528826880,906115819,3693201,0.021008463630311065
11:29:59,7.6,3524661248,906115819,3693201,0.02103045708915082
11:30:00,9.9,3526004736,906115819,3693201,0.021052422518147783
11:30:01,10.3,3524730880,906115819,3693201,0.021073694821122948
11:30:02,12.5,3463454720,906115819,3693201,0.021095691690437936
11:30:03,12.1,3452645376,906115819,3693201,0.02111583857790895
11:30:04,6.5,3453235200,906115819,3693201,0.02113634087137323
11:30:05,9.0,3452493824,906115819,3693201,0.02115799306617929
11:30:06,5.5,3446198272,906115819,3693201,0.021179985531422384
11:30:07,8.3,3446398976,906115819,3693201,0.02120195446279079
11:30:08,8.1,3446460416,906115819,3693271,0.021212737962487856
11:30:09,7.8,3447156736,906115819,3693271,0.021256633050756826
11:30:10,9.8,3439554560,906115819,3693271,0.021278613119532885
11:30:11,8.1,3438424064,906115819,3693271,0.02130026896550812
11:30:12,6.6,3433717760,906115819,3693271,0.021322173185878857
11:30:13,6.1,3431890944,906115819,3693271,0.02133773960595279
11:30:14,6.1,3429990400,906115819,3693271,0.021359712100177713
11:30:15,7.2,3428929536,906115819,3693271,0.021381632604476827
