,timestamp,bufferLevel,frameRate,bitrate,resolution,calculatedBitrate,CPU_use,RAM_filled,Net_bytes_sent,Net_bytes_received,Disk_IO_percentage
148,2022-12-04 11:28:13,494.468,18,590,426x240,2782,5.8,3036692480,885293151,3583482,0.0185600676490102
149,2022-12-04 11:28:14,493.406,18,590,426x240,2782,5.6,3036426240,885293151,3583552,0.0185821786607819
150,2022-12-04 11:28:15,492.344,18,590,426x240,2782,6.1,3035897856,885293151,3583552,0.018604289584405
151,2022-12-04 11:28:16,491.547,18,590,426x240,2782,5.4,3035541504,885293151,3583552,0.0186264004198802
152,2022-12-04 11:28:17,490.484,18,590,426x240,2782,5.7,3033894912,885293151,3583552,0.0186485111672079
153,2022-12-04 11:28:18,489.422,18,590,426x240,2782,5.5,3033698304,885293151,3583552,0.0186704770976865
154,2022-12-04 11:28:19,488.359,18,590,426x240,2782,6.2,3033403392,885293151,3583552,0.0186925874976156
155,2022-12-04 11:28:20,487.563,18,590,426x240,2782,6.4,3033657344,885293151,3583552,0.0187146978094003
156,2022-12-04 11:28:21,486.5,18,590,426x240,2782,5.4,3032592384,885293151,3583552,0.018736808033041
157,2022-12-04 11:28:22,485.438,18,590,426x240,2782,6.5,3032535040,885293151,3583552,0.0187589181685382
158,2022-12-04 11:28:23,484.375,18,590,426x240,2782,6.0,3032637440,885293151,3583552,0.0187810282158925
159,2022-12-04 11:28:24,483.578,18,590,426x240,2782,6.4,3032920064,885293151,3583552,0.0188028716569465
160,2022-12-04 11:28:25,482.516,18,590,426x240,2782,6.7,3038691328,885293151,3583552,0.0188236555107165
161,2022-12-04 11:28:26,481.454,18,590,426x240,2782,12.7,3017539584,885293151,3583552,0.0188669008790159
162,2022-12-04 11:28:27,480.391,18,590,426x240,2782,9.0,3022069760,885293151,3583552,0.0188889907521449
163,2022-12-04 11:28:28,479.328,18,590,426x240,2782,7.9,3023945728,885293151,3583552,0.0189110972488782
164,2022-12-04 11:28:29,478.532,18,590,426x240,2782,8.7,3019051008,885293151,3583552,0.0189328137549217
165,2022-12-04 11:28:30,477.469,18,590,426x240,2782,8.6,3019739136,885293151,3583622,0.0189549196209547
166,2022-12-04 11:28:31,476.407,18,590,426x240,2782,8.2,3020038144,885293151,3583622,0.0189770253988773
167,2022-12-04 11:28:32,475.345,18,590,426x240,2782,8.8,3020550144,885293151,3583622,0.01899913108869
168,2022-12-04 11:28:33,474.548,18,590,426x240,2782,8.0,3021795328,885293151,3583622,0.0190212366903933
169,2022-12-04 11:28:34,473.485,18,590,426x240,2782,9.3,3026436096,885293151,3583622,0.0190431144969473
170,2022-12-04 11:28:35,472.423,18,590,426x240,2782,8.4,3026366464,885293151,3583622,0.0190652196585664
171,2022-12-04 11:28:36,471.36,18,590,426x240,2782,8.4,3027214336,885293151,3583622,0.0190854990503746
172,2022-12-04 11:28:37,470.563,18,590,426x240,2782,8.7,3051151360,885293151,3583622,0.0191283918025985
173,2022-12-04 11:28:38,469.501,18,590,426x240,2782,5.3,3033833472,885293151,3583622,0.0191220566401949
174,2022-12-04 11:28:39,468.438,18,590,426x240,2782,5.1,3034095616,885293151,3583622,0.0191441207432516
175,2022-12-04 11:28:40,467.376,18,590,426x240,2782,6.0,3034124288,885293151,3583622,0.0191661847487571
176,2022-12-04 11:28:41,466.579,18,590,426x240,2782,5.5,3034112000,885293151,3583622,0.0191882444149055
177,2022-12-04 11:28:42,465.517,18,590,426x240,2782,5.1,3034124288,885293151,3583622,0.0192099684925568
178,2022-12-04 11:28:43,464.454,18,590,426x240,2782,5.3,3033907200,885293151,3583622,0.0192315259088443
179,2022-12-04 11:28:44,463.392,18,590,426x240,2782,5.8,3033305088,885293151,3583622,0.0192535842945572
180,2022-12-04 11:28:45,462.329,18,590,426x240,2782,5.5,3032510464,885293151,3583622,0.019297743401907
181,2022-12-04 11:28:46,461.532,18,590,426x240,2782,5.8,3029622784,885293151,3583622,0.0193198015144602
182,2022-12-04 11:28:47,460.47,18,590,426x240,2782,6.3,3029753856,885293151,3583622,0.019341855244229
183,2022-12-04 11:28:48,459.407,18,590,426x240,2782,6.6,3030003712,885293151,3583622,0.0193637761662419
184,2022-12-04 11:28:49,458.345,18,590,426x240,2782,5.6,3029934080,885293151,3583622,0.0193858295112449
185,2022-12-04 11:28:50,457.549,18,590,426x240,2782,6.9,3029995520,885293151,3583622,0.0194078827392524
186,2022-12-04 11:28:51,456.486,18,590,426x240,2782,6.0,3029925888,885293151,3583622,0.0194299358502652
187,2022-12-04 11:28:52,455.423,18,590,426x240,2782,6.4,3030183936,885293151,3583622,0.0194519888442844
188,2022-12-04 11:28:53,454.361,18,590,426x240,2782,5.6,3030237184,885293151,3583622,0.0194739685427989
189,2022-12-04 11:28:54,453.564,18,590,426x240,2782,6.5,3030233088,885293151,3583622,0.0194958186773921
190,2022-12-04 11:28:55,452.502,18,590,426x240,2782,6.7,3030228992,885293151,3583622,0.0195178710091977
191,2022-12-04 11:28:56,451.439,18,590,426x240,2782,6.3,3030220800,885293151,3583622,0.0195393660757703
192,2022-12-04 11:28:57,450.377,18,590,426x240,2782,5.8,3029983232,885293151,3583622,0.0195614175463041
193,2022-12-04 11:28:58,449.58,18,590,426x240,2782,5.6,3029954560,885293151,3583622,0.0195834688998599
194,2022-12-04 11:28:59,448.517,18,590,426x240,2782,4.9,3030183936,885293151,3583622,0.0196055201364385
195,2022-12-04 11:29:00,447.455,18,590,426x240,2782,7.4,3029913600,885293151,3583622,0.0196275712560407
196,2022-12-04 11:29:01,446.392,18,590,426x240,2782,5.1,3030142976,885293151,3583622,0.0196495136800621
197,2022-12-04 11:29:02,445.33,18,590,426x240,2782,4.7,3029999616,885293151,3583622,0.0196715644441556
198,2022-12-04 11:29:03,444.533,18,590,426x240,2782,6.6,3024052224,885293151,3583622,0.01969341486245
199,2022-12-04 11:29:04,443.471,18,590,426x240,2782,5.1,3024375808,885293151,3583622,0.0197154651689396
200,2022-12-04 11:29:05,442.409,18,590,426x240,2782,6.1,3024371712,885293151,3583622,0.0197375153584613
201,2022-12-04 11:29:06,441.346,18,590,426x240,2782,4.7,3024531456,885293151,3583622,0.0197579976794298
202,2022-12-04 11:29:07,440.549,18,590,426x240,2782,4.5,3024400384,885293151,3583622,0.0197800415181966
203,2022-12-04 11:29:08,439.486,18,590,426x240,2782,4.3,3024396288,885293151,3583622,0.0198019058008312
204,2022-12-04 11:29:09,438.424,18,590,426x240,2782,5.1,3024744448,885293151,3583622,0.01982395356819
205,2022-12-04 11:29:10,437.362,18,590,426x240,2782,6.2,3024744448,885293151,3583622,0.0198460012186063
206,2022-12-04 11:29:11,436.565,18,590,426x240,2782,5.6,3024740352,885293151,3583622,0.019867192569007
207,2022-12-04 11:29:12,435.502,18,590,426x240,2782,4.8,3024736256,885293151,3583622,0.0199113337919643
208,2022-12-04 11:29:13,434.44,18,590,426x240,2782,5.1,3024736256,885293151,3583622,0.0199328162439635
209,2022-12-04 11:29:14,433.377,18,590,426x240,2782,5.7,3024723968,885293151,3583622,0.0199548617932459
210,2022-12-04 11:29:15,432.58,18,590,426x240,2782,6.2,3024723968,885293151,3583622,0.0199769072256075
211,2022-12-04 11:29:16,431.518,18,590,426x240,2782,6.1,3024719872,885293151,3583622,0.0199989392827783
212,2022-12-04 11:29:17,430.456,18,590,426x240,2782,6.1,3024199680,885293151,3583622,0.0200209756181641
213,2022-12-04 11:29:18,429.393,18,590,426x240,2782,6.0,3024134144,885293151,3583622,0.0200428656568922
214,2022-12-04 11:29:19,428.331,18,590,426x240,2782,6.1,3023577088,885293151,3583622,0.0200649104271903
215,2022-12-04 11:29:20,427.534,18,590,426x240,2782,7.1,3023384576,885293151,3583622,0.0200869550805743
216,2022-12-04 11:29:21,426.472,18,590,426x240,2782,9.2,3023605760,885293151,3583622,0.020108999617045
217,2022-12-04 11:29:22,425.409,18,590,426x240,2782,10.1,3020767232,885293151,3583622,0.0201294382538872
218,2022-12-04 11:29:23,424.347,18,590,426x240,2782,8.5,3020378112,885293151,3583622,0.0201734251691872
219,2022-12-04 11:29:24,423.55,18,590,426x240,2782,6.5,3016597504,885293151,3583622,0.0201952576497271
220,2022-12-04 11:29:25,422.488,18,590,426x240,2782,9.4,3018174464,885293151,3583622,0.0202172995123322
221,2022-12-04 11:29:26,421.425,18,590,426x240,2782,8.5,3040428032,885293151,3583696,0.0202393412580518
222,2022-12-04 11:29:27,420.362,18,590,426x240,2782,8.1,3031207936,885293151,3583696,0.0202613828868869
223,2022-12-04 11:29:28,419.566,18,590,426x240,2782,7.2,3031810048,885293151,3583696,0.0202832406520332
224,2022-12-04 11:29:29,418.503,18,590,426x240,2782,7.1,3034750976,885293151,3583696,0.0203052818479176
225,2022-12-04 11:29:30,417.441,18,590,426x240,2782,7.7,3028828160,885293151,3583696,0.0203273229269223
226,2022-12-04 11:29:31,416.378,18,590,426x240,2782,7.6,3029204992,885293151,3583696,0.0203493638890484
227,2022-12-04 11:29:32,415.581,18,590,426x240,2782,7.5,3035160576,885293151,3583696,0.0203714047342967
228,2022-12-04 11:29:33,414.519,18,590,426x240,2782,6.4,3034976256,885293151,3583696,0.020393319298841
229,2022-12-04 11:29:34,413.456,18,590,426x240,2782,8.9,3035521024,885293151,3583696,0.0204153597743174
230,2022-12-04 11:29:35,412.394,18,590,426x240,2782,7.2,3033493504,885293151,3583696,0.0204373143380464
231,2022-12-04 11:29:36,411.332,18,590,426x240,2782,6.0,3032870912,885293151,3583911,0.020459354487481
232,2022-12-04 11:29:37,410.535,18,590,426x240,2782,22.9,3050213376,885293151,3584126,0.0204783495024666
233,2022-12-04 11:29:38,409.472,18,590,426x240,2782,5.3,3055751168,885293151,3584341,0.0205218605308733
234,2022-12-04 11:29:39,408.41,18,590,426x240,2782,6.6,3067531264,885293151,3584556,0.0205437284304657
235,2022-12-04 11:29:40,407.347,18,590,426x240,2782,10.3,3078279168,885293151,3584556,0.0205653414575636
236,2022-12-04 11:29:41,406.551,18,590,426x240,2782,19.2,3070435328,885293151,3584556,0.0205858803390485
237,2022-12-04 11:29:42,405.488,18,590,426x240,2782,21.8,3096489984,885293151,3584556,0.0206074948111299
238,2022-12-04 11:29:43,404.426,18,590,426x240,2782,24.6,3164807168,885293151,3584771,0.020627249479957
239,2022-12-04 11:29:44,403.363,18,590,426x240,2782,25.2,3239206912,885293151,3584986,0.0206435670670856
240,2022-12-04 11:29:45,402.566,18,590,426x240,2782,18.0,3284267008,885293151,3585275,0.0206653081140036
241,2022-12-04 11:29:46,401.504,18,590,426x240,2782,25.2,3331522560,885293151,3585490,0.0206867059103265
242,2022-12-04 11:29:47,400.509,18,590,426x240,2782,32.2,3423485952,895695119,3628829,0.0207269714848524
243,2022-12-04 11:29:48,399.488,18,590,426x240,2782,27.3,3443806208,895695119,3628829,0.0207489808166843
244,2022-12-04 11:29:49,398.426,18,590,426x240,2782,18.5,3446878208,906115819,3692556,0.0207702564630041
